
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:912          127.0.0.1:54540        ESTABLISHED     3532
  TCP    127.0.0.1:50219        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50254        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50285        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50289        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50307        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50308        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50316        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50319        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50321        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50355        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50359        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50368        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50394        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50401        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50476        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50499        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50513        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50515        127.0.0.1:54784        ESTABLISHED     14320
  TCP    127.0.0.1:50570        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50578        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50580        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50582        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50588        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50590        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50623        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50625        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50627        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50631        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50633        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50642        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50645        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50647        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50655        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50659        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50661        127.0.0.1:55040        ESTABLISHED     14320
  TCP    127.0.0.1:50666        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50668        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50670        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50671        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50674        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50675        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50677        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50680        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50686        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50688        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50690        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50718        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50719        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50721        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50723        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50725        127.0.0.1:55040        TIME_WAIT       0
  TCP    127.0.0.1:50727        127.0.0.1:55040        CLOSE_WAIT      14320
  TCP    127.0.0.1:50729        127.0.0.1:55040        TIME_WAIT       0
